sourcePath,sourceType,targetPath,targetType,mappingStrategy,status,testCaseId,notes
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.BEI,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.BIC,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.BIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.bkPtyId,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.DUNS,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.EANGLN,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.IBEI,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.prtryId,GenericIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId,GenericIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.prtryId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.prtryId.issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.taxIdNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId.USCHU,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId,List<PersonIdentification3>,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].alnRegnNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].cstmrNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].drvrsLicNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].dtAndPlcOfBirth,DateAndPlaceOfBirth,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].dtAndPlcOfBirth.birthDt,LocalDate,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].dtAndPlcOfBirth.cityOfBirth,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].dtAndPlcOfBirth.ctryOfBirth,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].dtAndPlcOfBirth.prvcOfBirth,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].idntyCardNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].mplyrIdNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].othrId,GenericIdentification4,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].othrId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].othrId.idTp,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].psptNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].sclSctyNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id.prvtId[].taxIdNb,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.adrTp.DLVY,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.bldgNb,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.bldgNb,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.ctry,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.ctrySubDvsn,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctrySubDvsn,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.pstCd,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.pstCd,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.strtNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.strtNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.pstlAdr.twnNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.twnNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.ccy,String,pacs00900101.cdtTrfTxInf[].cdtrAcct.ccy,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.id,AccountIdentification3Choice,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.id.BBAN,String,pacs00900101.cdtTrfTxInf[].cdtrAcct.id.BBAN,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.id.IBAN,String,pacs00900101.cdtTrfTxInf[].cdtrAcct.id.IBAN,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.id.prtryAcct,SimpleIdentificationInformation2,pacs00900101.cdtTrfTxInf[].cdtrAcct.id.prtryAcct,SimpleIdentificationInformation2,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.id.prtryAcct.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.id.UPIC,String,pacs00900101.cdtTrfTxInf[].cdtrAcct.id.UPIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp,CashAccountType2,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp,CashAccountType2,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.CASH,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.CASH,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.CHAR,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.CHAR,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.COMM,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.COMM,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.TAXE,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.TAXE,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.CISH,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.CISH,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.TRAS,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.TRAS,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.SACC,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.SACC,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.CACC,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.CACC,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.SVGS,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.SVGS,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.ONDP,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.ONDP,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.MGLD,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.MGLD,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.NREX,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.NREX,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.MOMA,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.MOMA,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.LOAN,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.LOAN,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.SLRY,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.SLRY,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.cd.ODFT,CashAccountType4Code,pacs00900101.cdtTrfTxInf[].cdtrAcct.tp.cd.ODFT,CashAccountType4Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAcct.tp.prtry,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId.prtry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId,BranchData,pacs00900101.cdtTrfTxInf[].cdtr.brnchId,BranchData,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.DLVY,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.bldgNb,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.bldgNb,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.ctry,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.ctrySubDvsn,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.ctrySubDvsn,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.pstCd,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.pstCd,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.strtNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.strtNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.brnchId.pstlAdr.twnNm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.twnNm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId,FinancialInstitutionIdentification5Choice,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId,FinancialInstitutionIdentification5Choice,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.BIC,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.BIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.clrSysMmbId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.clrSysMmbId.prtry,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId.prtry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId,FinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId,FinancialInstitutionIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.BIC,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.BIC,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId,ClearingSystemMemberIdentification3Choice,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.clrSysMmbId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.clrSysMmbId.prtry,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.clrSysMmbId.prtry,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.nm,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.nm,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.prtryId,GenericIdentification3,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId,GenericIdentification3,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.prtryId.id,String,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.prtryId.issr,String,pacs00900101.cdtTrfTxInf[].cdtr.finInstnId.cmbndId.prtryId.issr,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr,PostalAddress1,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr,PostalAddress1,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrLine,List<String>,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrLine,List<String>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp.declaringClass,Class,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.declaringClass,Class,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp.ADDR,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.ADDR,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp.PBOX,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.PBOX,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp.HOME,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.HOME,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp.BIZZ,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.BIZZ,AddressType2Code,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtrAgt.finInstnId.cmbndId.pstlAdr.adrTp.MLTO,AddressType2Code,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.pstlAdr.adrTp.MLTO,AddressType2Code,heuristic-suffix,done,,heuristic match
